Subregion_,Subregion,Country
Northern Africa,Northern Africa,Algeria
Northern Africa,Northern Africa,Egypt
Northern Africa,Northern Africa,Libyan Arab Jamahiriya
Northern Africa,Northern Africa,Morocco
Northern Africa,Northern Africa,Sudan
Northern Africa,Northern Africa,Tunisia
Northern Africa,Northern Africa,Western Sahara
Sub-Saharan Africa,Eastern Africa,Burundi
Sub-Saharan Africa,Eastern Africa,Comoros
Sub-Saharan Africa,Eastern Africa,Djibouti
Sub-Saharan Africa,Eastern Africa,Eritrea
Sub-Saharan Africa,Eastern Africa,Ethiopia
Sub-Saharan Africa,Eastern Africa,Kenya
Sub-Saharan Africa,Eastern Africa,Madagascar
Sub-Saharan Africa,Eastern Africa,Malawi
Sub-Saharan Africa,Eastern Africa,Mauritius
Sub-Saharan Africa,Eastern Africa,Mayotte
Sub-Saharan Africa,Eastern Africa,Mozambique
Sub-Saharan Africa,Eastern Africa,Reunion
Sub-Saharan Africa,Eastern Africa,Rwanda
Sub-Saharan Africa,Eastern Africa,Seychelles
Sub-Saharan Africa,Eastern Africa,Somalia
Sub-Saharan Africa,Eastern Africa,South Sudan
Sub-Saharan Africa,Eastern Africa,"Tanzania, United Republic of"
Sub-Saharan Africa,Eastern Africa,Uganda
Sub-Saharan Africa,Eastern Africa,Zambia
Sub-Saharan Africa,Eastern Africa,Zimbabwe
Sub-Saharan Africa,Middle Africa,Angola
Sub-Saharan Africa,Middle Africa,Cameroon
Sub-Saharan Africa,Middle Africa,Central African Republic
Sub-Saharan Africa,Middle Africa,Chad
Sub-Saharan Africa,Middle Africa,"Congo, Democratic Republic of the"
Sub-Saharan Africa,Middle Africa,"Congo, Republic of the"
Sub-Saharan Africa,Middle Africa,Equatorial Guinea
Sub-Saharan Africa,Middle Africa,Gabon
Sub-Saharan Africa,Middle Africa,Sao Tome and Principe
Sub-Saharan Africa,Southern Africa,Botswana
Sub-Saharan Africa,Southern Africa,Swaziland
Sub-Saharan Africa,Southern Africa,Lesotho
Sub-Saharan Africa,Southern Africa,Namibia
Sub-Saharan Africa,Southern Africa,South Africa
Sub-Saharan Africa,Western Africa,Benin
Sub-Saharan Africa,Western Africa,Burkina Faso
Sub-Saharan Africa,Western Africa,Cabo Verde
Sub-Saharan Africa,Western Africa,Cote d'Ivoire
Sub-Saharan Africa,Western Africa,Gambia
Sub-Saharan Africa,Western Africa,Ghana
Sub-Saharan Africa,Western Africa,Guinea
Sub-Saharan Africa,Western Africa,Guinea-Bissau
Sub-Saharan Africa,Western Africa,Liberia
Sub-Saharan Africa,Western Africa,Mali
Sub-Saharan Africa,Western Africa,Mauritania
Sub-Saharan Africa,Western Africa,Niger
Sub-Saharan Africa,Western Africa,Nigeria
Sub-Saharan Africa,Western Africa,Saint Helena
Sub-Saharan Africa,Western Africa,Senegal
Sub-Saharan Africa,Western Africa,Sierra Leone
Sub-Saharan Africa,Western Africa,Togo
